2199, 0.052
4399, 0.033
6599, 0.037
8798, 0.038
10998, 0.034
13198, 0.036
15397, 0.043
17597, 0.049
19797, 0.055
21997, 0.046
24196, 0.046
26396, 0.047
28596, 0.052
30795, 0.056
32995, 0.061
35195, 0.065
37394, 0.069
39594, 0.077
41794, 0.078
43994, 0.082
46193, 0.088
48393, 0.093
50593, 0.097
52792, 0.102
54992, 0.11
57192, 0.112
59391, 0.118
61591, 0.122
63791, 0.128
65991, 0.139
68190, 0.139
70390, 0.143
72590, 0.148
74789, 0.155
76989, 0.166
79189, 0.165
81388, 0.17
83588, 0.178
85788, 0.181
87988, 0.187
90187, 0.197
92387, 0.198
94587, 0.204
96786, 0.213
98986, 0.215
101186, 0.221
103385, 0.233
105585, 0.232
107785, 0.242
109985, 0.248
112184, 0.253
114384, 0.255
116584, 0.26
118783, 0.273
120983, 0.272
123183, 0.28
125382, 0.296
127582, 0.292
129782, 0.299
131982, 0.314
134181, 0.324
136381, 0.413
138581, 0.543
140780, 0.33
142980, 0.336
145180, 0.346
147379, 0.347
149579, 0.353
151779, 0.364
153979, 0.365
156178, 0.37
158378, 0.385
160578, 0.385
162777, 0.401
164977, 0.399
167177, 0.404
169376, 0.42
171576, 0.415
173776, 0.49
175976, 0.466
178175, 0.44
180375, 0.458
182575, 0.469
184774, 0.485
186974, 0.853
189174, 0.518
191373, 0.528
193573, 0.552
195773, 0.557
197973, 0.561
200172, 0.592
202372, 0.594
204572, 0.628
206771, 0.639
208971, 0.656
211171, 0.653
213370, 0.667
215570, 0.74
217770, 0.686
219970, 0.691
222169, 0.698
224369, 0.705
226569, 0.707
228768, 0.724
230968, 0.736
233168, 0.837
235367, 1.014
237567, 0.754
239767, 0.742
241967, 0.765
244166, 0.746
246366, 0.775
248566, 0.763
250765, 0.795
252965, 0.8
255165, 0.796
257364, 0.801
259564, 0.812
261764, 0.814
263964, 0.831
266163, 0.84
268363, 0.84
270563, 0.838
272762, 0.855
274962, 0.88
277162, 0.913
279361, 0.973
281561, 0.92
283761, 0.921
285961, 0.942
288160, 1.386
290360, 1.027
292560, 0.959
294759, 0.995
296959, 0.977
299159, 0.986
301358, 0.973
303558, 1.001
305758, 0.992
307958, 1.003
310157, 1.021
312357, 1.022
314557, 1.026
316756, 1.053
318956, 1.034
321156, 1.068
323355, 1.053
325555, 1.057
327755, 1.05
329955, 1.071
332154, 1.056
334354, 1.085
336554, 1.076
338753, 1.1
340953, 1.089
343153, 1.126
345352, 1.134
347552, 1.137
349752, 1.376
351952, 1.144
354151, 1.146
356351, 1.173
358551, 1.161
360750, 1.18
362950, 1.199
365150, 1.197
367349, 1.275
369549, 1.21
371749, 1.254
373949, 1.234
376148, 1.337
378348, 1.232
380548, 1.254
382747, 1.279
384947, 1.27
387147, 1.465
389346, 1.287
391546, 1.338
393746, 1.301
395946, 1.364
398145, 1.326
400345, 1.473
402545, 1.338
404744, 1.415
406944, 1.358
409144, 1.434
411343, 1.405
413543, 1.374
415743, 1.875
417943, 1.391
420142, 1.415
422342, 1.418
424542, 2.113
426741, 1.58
428941, 1.48
431141, 1.54
433340, 1.486
435540, 2.344
437740, 1.486
439940, 1.551
