85336164, 116155474, 132155292, 116190582
6634774, 9228355, 11980515, 9229776
1001751, 940950, 1796701, 939828
451635, 201092, 535637, 200589
320999, 93190, 274375, 92743
256692, 59785, 187665, 59577
214277, 41990, 141692, 41785
182509, 30964, 113100, 30659
156686, 23708, 93238, 23397
134474, 18650, 78272, 18363
114716, 14971, 66352, 14669
97022, 12117, 56482, 11812
81174, 9861, 48158, 9556
67064, 8026, 40987, 7720
54585, 6495, 34793, 6237
43648, 5231, 29341, 5033
34200, 4173, 24534, 4052
26211, 3323, 20253, 3221
19581, 2615, 16491, 2541
14235, 2049, 13142, 1992
9963, 1590, 10224, 1541
6760, 1218, 7723, 1188
4448, 938, 5716, 906
2799, 722, 4231, 681
1729, 546, 3109, 506
1059, 410, 2284, 375
668, 309, 1669, 282
430, 241, 1220, 215
289, 189, 910, 160
198, 149, 704, 119
131, 119, 565, 90
83, 98, 478, 68
54, 80, 424, 50
34, 68, 388, 42
21, 57, 365, 37
12, 50, 346, 33
8, 44, 328, 30
7, 38, 318, 27
7, 34, 311, 24
7, 30, 305, 22
7, 28, 299, 20
7, 26, 294, 19
7, 25, 289, 18
7, 24, 285, 17
7, 23, 282, 16
7, 22, 279, 15
7, 21, 276, 14
7, 20, 273, 13
7, 19, 270, 12
7, 18, 267, 11
