1, 85336164, 5117793, 324489, 0.0, 0.0, 0.0
2, 6634774, 55225, 465, 0.0, 0.0, 0.0
3, 1001751, 5086, 189, 0.0, 0.0, 0.001
4, 451635, 1897, 124, 0.0, 0.0, 0.001
5, 320999, 989, 83, 0.0, 0.0, 0.0
6, 256692, 526, 57, 0.0, 0.0, 0.0
7, 214277, 283, 40, 0.001, 0.0, 0.0
8, 182509, 160, 27, 0.0, 0.001, 0.0
9, 156686, 93, 18, 0.001, 0.0, 0.0
10, 134474, 52, 9, 0.0, 0.0, 0.001
11, 114716, 30, 2, 0.0, 0.001, 0.0
12, 97022, 17, 0, 0.0, 0.0, 0.001
13, 81174, 11, 0, 0.0, 0.0, 0.001
14, 67064, 8, 0, 0.001, 0.0, 0.001
15, 54585, 6, 0, 0.0, 0.001, 0.001
16, 43648, 4, 0, 0.0, 0.001, 0.001
17, 34200, 3, 0, 0.0, 0.001, 0.001
18, 26211, 2, 0, 0.001, 0.0, 0.001
19, 19581, 0, 0, 0.001, 0.0, 0.001
20, 14235, 0, 0, 0.0, 0.0, 0.001
21, 9963, 0, 0, 0.001, 0.0, 0.001
22, 6760, 0, 0, 0.0, 0.0, 0.001
23, 4448, 0, 0, 0.0, 0.001, 0.0
24, 2799, 0, 0, 0.001, 0.0, 0.001
25, 1729, 0, 0, 0.0, 0.001, 0.0
26, 1059, 0, 0, 0.001, 0.0, 0.001
27, 668, 0, 0, 0.0, 0.001, 0.0
28, 430, 0, 0, 0.001, 0.0, 0.001
29, 289, 0, 0, 0.0, 0.001, 0.001
30, 198, 0, 0, 0.0, 0.0, 0.0
31, 131, 0, 0, 0.0, 0.0, 0.0
32, 83, 0, 0, 0.001, 0.0, 0.0
33, 54, 0, 0, 0.0, 0.0, 0.0
34, 34, 0, 0, 0.0, 0.001, 0.0
35, 21, 0, 0, 0.0, 0.0, 0.0
36, 12, 0, 0, 0.001, 0.0, 0.0
37, 8, 0, 0, 0.0, 0.0, 0.0
38, 7, 0, 0, 0.001, 0.0, 0.0
39, 7, 0, 0, 0.0, 0.0, 0.0
40, 7, 0, 0, 0.0, 0.0, 0.0
41, 7, 0, 0, 0.0, 0.0, 0.0
42, 7, 0, 0, 0.0, 0.001, 0.0
43, 7, 0, 0, 0.0, 0.0, 0.0
44, 7, 0, 0, 0.0, 0.0, 0.0
45, 7, 0, 0, 0.0, 0.0, 0.0
46, 7, 0, 0, 0.0, 0.0, 0.0
47, 7, 0, 0, 0.0, 0.0, 0.0
48, 7, 0, 0, 0.0, 0.0, 0.0
49, 7, 0, 0, 0.0, 0.0, 0.0
50, 7, 0, 0, 0.0, 0.0, 0.0
